Model,Train Accuracy,Val Accuracy,Precision,Recall,F1-Score,ROC-AUC,Fit Time (sec),Overfit Gap,Best Params
Logistic Regression,0.8327710102904329,0.8282593685267716,0.783922152194211,0.763000852514919,0.7730845766858067,0.8757874813267948,0.1071,0.0045,
Logistic Regression (Tuned),0.8327710102904329,0.8293829640323895,0.7845660153732854,0.7658994032395567,0.7748317503754263,0.8758142192947093,0.0773,0.0034,"{'C': 1, 'max_iter': 1000, 'solver': 'liblinear'}"
Decision Tree,0.9856899160061143,0.7855941246626075,0.716261148697376,0.7338874680306905,0.7243813608338214,0.7736491886887837,0.0823,0.2001,
Decision Tree (Tuned),0.8280032147753597,0.8159186491745654,0.7726867565598177,0.7396419437340154,0.7554660164192152,0.8510870525096574,0.0743,0.0121,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2}"
Random Forest,0.9856899160061143,0.8237963718536188,0.7836878587095246,0.7485933503836317,0.7653194854752285,0.8693539817566073,0.6039,0.1619,
Random Forest (Tuned),0.8891702255070364,0.8394890465130878,0.8297865659524832,0.7338448422847399,0.7780711959632318,0.8713209608461726,1.0008,0.0497,"{'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 200}"
Gradient Boosting,0.9048808642072584,0.8417174063147324,0.8364548179710034,0.7309462915601024,0.7799074274369551,0.8758784227691875,0.4264,0.0632,
Gradient Boosting (Tuned),0.9107750130009297,0.8451133011110414,0.8384677419354839,0.7398976982097187,0.7856164403426031,0.8806968793972242,0.2544,0.0657,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}"
KNN,0.858584159352002,0.8305065595380077,0.7958939743921087,0.7514066496163683,0.7728758321124733,0.8621624318219148,0.1372,0.0281,
KNN (Tuned),0.858584159352002,0.8305065595380077,0.7958939743921087,0.7514066496163683,0.7728758321124733,0.8621624318219148,0.1278,0.0281,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}"
SVM,0.8462391855902422,0.8282656455966355,0.8060014848539439,0.7278346121057119,0.7644082828335608,0.8662087403043316,0.4138,0.018,
SVM (Tuned),0.8462391855902422,0.8282656455966355,0.8060014848539439,0.7278346121057119,0.7644082828335608,0.8662087403043316,0.3601,0.018,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
Naive Bayes,0.7996639456639929,0.7957378695624883,0.7260702171804078,0.7512361466325661,0.7378609105553006,0.8504112833442475,0.0741,0.0039,
Naive Bayes (Tuned),0.7996639456639929,0.7957378695624883,0.7260702171804078,0.7512361466325661,0.7378609105553006,0.8504112833442475,0.0739,0.0039,{'var_smoothing': 1e-09}
MLP (Neural Net),0.9031958649164002,0.8237838177138912,0.8015580632549397,0.7195652173913043,0.7574056097123743,0.8504430055736985,5.7886,0.0794,
MLP (Neural Net) (Tuned),0.8984257055959152,0.8305128366078716,0.8100521755628636,0.7311167945439045,0.7679701065159314,0.8608779303867177,7.0542,0.0679,"{'activation': 'tanh', 'alpha': 0.01, 'hidden_layer_sizes': (100,)}"
